Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.19351792300759E-05,2.66313360253179E-11,0.00249927377559186,0,0,0,0.218786179057481,0.000458880182415635,-1.26717896645911E-16,9.60206727954218E-09,0.00139235657787457,-4.22592654330146E-18,0.00185033598373522,0,0,0,0,0,0,package://dog_V1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://dog_V1/meshes/base_link.STL,,001-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_ZQ1,0.000133546841623866,-7.91072138489612E-08,-0.0358658506152578,0,0,0,0.175601804475123,0.000110316695599356,-1.3731370145567E-09,2.02911992799848E-06,9.4335208930318E-05,1.507841220483E-09,8.30626942972322E-05,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZQ1.STL,1,1,1,1,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZQ1.STL,,00_ASM_2-1/PRT0005-1;00_ASM_2-1/HL-43100001_ASM-3/43100001-1,坐标系ZQ1,基准轴ZQ1," joint_ZQ1",fixed,0.113000000000043,0.0440000000000379,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_ZQ2,0.065381522499544,-0.00367484008202038,3.74855762923836E-08,0,0,0,0.158886564424653,6.94081441993641E-05,7.27115813580849E-08,-1.72179482099041E-10,9.05631986773207E-05,-1.02703131326488E-11,7.88557586048977E-05,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZQ2.STL,1,1,1,1,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZQ2.STL,,00_ASM_2-1/PRT0004-1;00_ASM_2-1/HL-43100001_ASM-2/43100001-1,坐标系ZQ2,基准轴ZQ2," joint_ZQ2",revolute,0,0,-0.039999999999999,0,0,0,Link_ZQ1,-1,0,0,0,0,-1.04,1.04,,,,,,,,
Link_ZQ3,-9.66843211858137E-05,0.0637630075411748,-0.0125911993653361,0,0,0,0.328525051665209,0.000357997062410426,5.70655430859041E-08,-2.0821817423912E-10,0.000433051406025344,8.5543290207054E-09,0.000133948282151935,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZQ3.STL,1,1,1,1,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZQ3.STL,,00_ASM_2-1/PRT0003-1;00_ASM_2-1/PRT0006-1;00_ASM_2-1/HL-43100001_ASM-1/43100001-1;00_ASM_2-1/000-1;00_ASM_2-1/_AF0_ASM-1/GT-1;00_ASM_2-1/_AF0_ASM-1/0001-1;00_ASM_2-1/1000-1,坐标系ZQ3,基准轴ZQ3," joint_ZQ3",revolute,0.0669999999999533,0,0,0,0,0,Link_ZQ2,0,1,0,0,0,-2.6,2.6,,,,,,,,
Link_ZQ4,-2.54482581119042E-08,2.52427976805102E-07,-0.069516981232835,0,0,0,0.0461145640334142,8.19570561723877E-05,-2.04585682666155E-10,-3.0302050593923E-11,8.09299641180634E-05,-4.55766499975898E-10,4.19017230266141E-06,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZQ4.STL,1,1,1,1,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZQ4.STL,,00_ASM_2-1/_AF0_ASM-1/腿部-1/00-1,坐标系ZQ4,基准轴ZQ4,joint_ZQ4,revolute,0,0.0884999999992952,-0.149999892407241,0,0,0,Link_ZQ3,0,0.999999999999991,0,0,0,-1.57,1.57,,,,,,,,
Link_ZQ5,-6.18394224716212E-14,4.6213869877524E-07,1.37667655053519E-14,0,0,0,0.0341800780251306,5.46890168615009E-06,1.78936706102803E-17,1.56083493654158E-13,5.4687678829563E-06,2.08734252262767E-20,5.46876788295629E-06,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZQ5.STL,1,1,1,1,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZQ5.STL,,00_ASM_2-1/_AF0_ASM-1/腿部-1/00_2-1,坐标系ZQ5,基准轴ZQ5," joint_ZQ5",fixed,0,0,-0.155000000000014,0,0,0,Link_ZQ4,0,0,-0.999999999999973,0,0,-1.57,1.57,,,,,,,,
Link_ZH1,-0.000133546725852363,7.91378887976535E-08,-0.0358658505089227,0,0,0,0.175601802379345,0.000110316692331783,-1.37041847425682E-09,-2.02911976947431E-06,9.43352066432549E-05,-1.5062809857641E-09,8.3062693014259E-05,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZH1.STL,1,1,1,1,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZH1.STL,,_A_ASM-1/PRT0005-1;_A_ASM-1/HL-43100001_ASM-3/43100001-1,坐标系ZH1,基准轴ZH1,joint_ZH1,fixed,-0.113000272767783,0.0439999608157332,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_ZH2,-0.0653815209989819,-0.00367484881854861,-3.67134354263248E-08,0,0,0,0.15888656851247,6.94081433913983E-05,-7.27140560321188E-08,-1.72349311949093E-10,9.05631988378092E-05,1.03335012631913E-11,7.88557603075713E-05,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZH2.STL,1,1,1,1,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZH2.STL,,_A_ASM-1/PRT0004-1;_A_ASM-1/HL-43100001_ASM-2/43100001-1,坐标系ZH2,基准轴ZH2," joint_ZH2",revolute,0,0,-0.0400000000000023,0,0,0,Link_ZH1,-0.999999999999991,0,0,0,0,-1.04,1.04,,,,,,,,
Link_ZH3,-0.000124472096295335,0.0637630073710694,-0.0125912782754509,0,0,0,0.32852505257598,0.000357997070276503,1.01256428330467E-08,-2.16273459704805E-10,0.000433051405537174,8.49086263574151E-09,0.000133948274267455,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZH3.STL,1,1,1,1,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZH3.STL,,_A_ASM-1/PRT0003-1;_A_ASM-1/PRT0006-1;_A_ASM-1/HL-43100001_ASM-1/43100001-1;_A_ASM-1/000-1;_A_ASM-1/_AF2_ASM-1/GT-1;_A_ASM-1/_AF2_ASM-1/0001-1;_A_ASM-1/1000-1,坐标系ZH3,基准轴ZH3," joint_ZH3",revolute,-0.0669999999999994,0,0,0,0,0,Link_ZH2,0,0.999999999999991,0,0,0,-2.6,2.6,,,,,,,,
Link_ZH4,-2.54482576801473E-08,2.52427977599605E-07,-0.0695169812328351,0,0,0,0.046114564033414,8.19570561723872E-05,-2.04585682670175E-10,-3.03020500117913E-11,8.09299641180629E-05,-4.55766499222894E-10,4.19017230266139E-06,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZH4.STL,1,1,1,1,0,0,0,0,0,0,package://dog_V1/meshes/Link_ZH4.STL,,_A_ASM-1/_AF2_ASM-1/腿部-1/00-1,坐标系ZH4,基准轴ZH4," joint_ZH4",revolute,0,0.0884999999999992,-0.149999999999999,0,0,0,Link_ZH3,0,0.999999999999991,0,0,0,-1.57,1.57,,,,,,,,
