Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.19351792300759E-05,2.66313360253179E-11,0.00249927377559186,0,0,0,0.218786179057481,0.000458880182415635,-1.26652642125146E-16,9.60206727954244E-09,0.00139235657787457,-4.22592668158049E-18,0.00185033598373522,0,0,0,0,0,0,package://000/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://000/meshes/base_link.STL,,001-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_ZQ1,-0.000652558870344211,-3.59787127729438E-08,-0.0381147647107896,0,0,0,0.385078772970863,0.000194920596155765,-1.3739886898323E-09,2.02911992799848E-06,0.000172570607784794,1.50784122048442E-09,0.000161298093151708,0,0,0,0,0,0,package://000/meshes/Link_ZQ1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://000/meshes/Link_ZQ1.STL,,00_ASM_2-1/HL-43100001_ASM-3/43100001-1;00_ASM_2-1/PRT0005-1,坐标系ZQ1,基准轴ZQ1,joint_ZQ1,fixed,0.113,0.044,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_ZQ2,0.0663019006859417,-0.00460558137074285,1.61686854931815E-08,0,0,0,0.368363532920392,0.00014764354305384,7.27115813580894E-08,-1.72179482099067E-10,0.00017516709923373,-1.02703129813806E-11,0.000157091157459374,0,0,0,0,0,0,package://000/meshes/Link_ZQ2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://000/meshes/Link_ZQ2.STL,,00_ASM_2-1/HL-43100001_ASM-2/43100001-1;00_ASM_2-1/PRT0004-1,坐标系ZQ2,基准轴ZQ2,joint_ZQ2,revolute,0,0,-0.039999999999999,0,0,0,Link_ZQ1,-1,0,0,0,0,-0.79,0.79,,,,,,,,
Link_ZQ3,-5.91352303156434E-05,0.0594510109838983,-0.0076886684560253,0,0,0,0.538002020160948,0.000436232461264933,5.70514524703391E-08,-2.0821821258108E-10,0.000517655306581674,8.571658406335E-09,0.000212183681006458,0,0,0,0,0,0,package://000/meshes/Link_ZQ3.STL,1,1,1,1,0,0,0,0,0,0,package://000/meshes/Link_ZQ3.STL,,00_ASM_2-1/PRT0006-1;00_ASM_2-1/HL-43100001_ASM-1/43100001-1;00_ASM_2-1/000-1;00_ASM_2-1/_AF0_ASM-1/GT-1;00_ASM_2-1/_AF0_ASM-1/0001-1;00_ASM_2-1/PRT0003-1;00_ASM_2-1/1000-1,坐标系ZQ3,基准轴ZQ3,joint_ZQ3,revolute,0.0669999999999533,0,0,0,0,0,Link_ZQ2,0,1,0,0,0,-3.14,3.14,,,,,,,,
Link_ZQ4,-2.54482581119042E-08,2.52427976805102E-07,-0.069516981232835,0,0,0,0.0461145640334142,8.19570561723877E-05,-2.04585682666155E-10,-3.03020505939197E-11,8.09299641180634E-05,-4.55766499976003E-10,4.19017230266141E-06,0,0,0,0,0,0,package://000/meshes/Link_ZQ4.STL,1,1,1,1,0,0,0,0,0,0,package://000/meshes/Link_ZQ4.STL,,00_ASM_2-1/_AF0_ASM-1/腿部-1/00-1,坐标系ZQ4,基准轴ZQ4,joint_ZQ4,revolute,0,0.0884999999992952,-0.149999892407241,0,0,0,Link_ZQ3,0,0.999999999999991,0,0,0,-3.14,3.14,,,,,,,,
Link_ZQ5,-6.18394224716212E-14,4.6213869877524E-07,1.37667655053519E-14,0,0,0,0.0341800780251306,5.46890168615009E-06,1.78936706102803E-17,1.56083493654158E-13,5.4687678829563E-06,2.08734252262767E-20,5.46876788295629E-06,0,0,0,0,0,0,package://000/meshes/Link_ZQ5.STL,1,1,1,1,0,0,0,0,0,0,package://000/meshes/Link_ZQ5.STL,,00_ASM_2-1/_AF0_ASM-1/腿部-1/00_2-1,坐标系ZQ5,基准轴ZQ5,joint_ZQ5,fixed,0,0,-0.155000000000014,0,0,0,Link_ZQ4,0,0,0,,,,,,,,,,,,
Link_ZH1,0.000652558927389468,3.60880854782808E-08,-0.0381147646745402,0,0,0,0.385078770875084,0.000194920592888192,-1.37041847384202E-09,-2.02911976947435E-06,0.000172570605497731,-1.50628098576506E-09,0.000161298091868735,0,0,0,0,0,0,package://000/meshes/Link_ZH1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://000/meshes/Link_ZH1.STL,,_A_ASM-1/HL-43100001_ASM-3/43100001-1;_A_ASM-1/PRT0005-1,坐标系ZH1,基准轴ZH1,joint_ZH1,fixed,-0.113,0.044,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_ZH2,-0.0663018996245754,-0.00460559022404021,-1.58356381635268E-08,0,0,0,0.36836353700821,0.000147643542245874,-7.27149077073949E-08,-1.72349311949149E-10,0.000175167099394218,1.03335012384495E-11,0.000157091159162047,0,0,0,0,0,0,package://000/meshes/Link_ZH2.STL,1,1,1,1,0,0,0,0,0,0,package://000/meshes/Link_ZH2.STL,,_A_ASM-1/PRT0004-1;_A_ASM-1/HL-43100001_ASM-2/43100001-1,坐标系ZH2,基准轴ZH2,joint_ZH2,revolute,0,0,-0.0400000000000023,0,0,0,Link_ZH1,-0.999999999999991,0,0,0,0,-0.79,0.79,,,,,,,,
Link_ZH3,-7.60102683361905E-05,0.0594510108876429,-0.00768872642746052,0,0,0,0.538002021071719,0.000436232469130979,1.01247911577698E-08,-2.16273459704551E-10,0.000517655306093583,8.49086263571671E-09,0.000212183673121931,0,0,0,0,0,0,package://000/meshes/Link_ZH3.STL,1,1,1,1,0,0,0,0,0,0,package://000/meshes/Link_ZH3.STL,,_A_ASM-1/PRT0003-1;_A_ASM-1/PRT0006-1;_A_ASM-1/HL-43100001_ASM-1/43100001-1;_A_ASM-1/000-1;_A_ASM-1/_AF2_ASM-1/GT-1;_A_ASM-1/_AF2_ASM-1/0001-1;_A_ASM-1/1000-1,坐标系ZH3,基准轴ZH3,joint_ZH3,revolute,-0.0669999999999994,0,0,0,0,0,Link_ZH2,0,0.999999999999991,0,0,0,-3.14,3.14,,,,,,,,
Link_ZH4,-2.54482576801564E-08,2.52427977599605E-07,-0.0695169812328351,0,0,0,0.046114564033414,8.19570561723872E-05,-2.04585682670176E-10,-3.03020500117913E-11,8.09299641180629E-05,-4.55766499223085E-10,4.19017230266139E-06,0,0,0,0,0,0,package://000/meshes/Link_ZH4.STL,1,1,1,1,0,0,0,0,0,0,package://000/meshes/Link_ZH4.STL,,_A_ASM-1/_AF2_ASM-1/腿部-1/00-1,坐标系ZH4,基准轴ZH4,joint_ZH4,revolute,0,0.0884999999999992,-0.149999999999999,0,0,0,Link_ZH3,0,0.999999999999991,0,0,0,-3.14,3.14,,,,,,,,
